ES;ESPN_ABBR;NOMBRE
ALEMANIA;GER;Alemania
ARABIA SAUDITA;KSA;Arabia Saudita
ARGELIA;ALG;Argelia
ALGERIA;ALG;Argelia
ARGENTINA;ARG;Argentina
AUSTRALIA;AUS;Australia
AUSTRIA;AUT;Austria
BELGICA;BEL;Bélgica
BÉLGICA;BEL;Bélgica
BOSNIA Y HERZEGOVINA;BIH;Bosnia y Herzegovina
BOSNIA-HERZEGOVINA;BIH;Bosnia y Herzegovina
BRASIL;BRA;Brasil
CABO VERDE;CPV;Cabo Verde
CANADA;CAN;Canadá
CANADÁ;CAN;Canadá
CHEQUIA;CZE;República Checa
REPÚBLICA CHECA;CZE;República Checa
REPUBLICA CHECA;CZE;República Checa
COLOMBIA;COL;Colombia
CONGO DR;COD;Congo DR
RD CONGO;COD;Congo DR
REP. DEMOCRATICA DEL CONGO;COD;Congo DR
REP. DEMOCRÁTICA DEL CONGO;COD;Congo DR
COSTA DE MARFIL;CIV;Costa de Marfil
CROACIA;CRO;Croacia
CURAZAO;CUW;Curazao
ECUADOR;ECU;Ecuador
EGIPTO;EGY;Egipto
ESCOCIA;SCO;Escocia
ESPAÑA;ESP;España
ESPANA;ESP;España
ESTADOS UNIDOS;USA;Estados Unidos
FRANCIA;FRA;Francia
GHANA;GHA;Ghana
INGLATERRA;ENG;Inglaterra
HAITI;HAI;Haití
HAITÍ;HAI;Haití
HOLANDA;NED;Holanda
PAISES BAJOS;NED;Holanda
PAÍSES BAJOS;NED;Holanda
IRAN;IRN;Irán
IRÁN;IRN;Irán
IRAK;IRQ;Irak
IRAQ;IRQ;Irak
JAPON;JPN;Japón
JAPÓN;JPN;Japón
JORDANIA;JOR;Jordania
KOREA DEL SUR;KOR;Korea del Sur
COREA DEL SUR;KOR;Korea del Sur
MARRUECOS;MAR;Marruecos
MEXICO;MEX;México
MÉXICO;MEX;México
NORUEGA;NOR;Noruega
NUEVA ZELANDA;NZL;Nueva Zelanda
PANAMA;PAN;Panamá
PANAMÁ;PAN;Panamá
PARAGUAY;PAR;Paraguay
PORTUGAL;POR;Portugal
QATAR;QAT;Qatar
SENEGAL;SEN;Senegal
SUDAFRICA;RSA;Sudáfrica
SUDÁFRICA;RSA;Sudáfrica
SUECIA;SWE;Suecia
SUIZA;SUI;Suiza
TUNEZ;TUN;Túnez
TÚNEZ;TUN;Túnez
TURQUIA;TUR;Turquía
TURQUÍA;TUR;Turquía
URUGUAY;URU;Uruguay
UZBEKISTAN;UZB;Uzbekistán
UZBEKISTÁN;UZB;Uzbekistán
COSTA DE M;CIV;Costa de Marfil
BOS Y HERZ;BIH;Bosnia y Herzegovina
