JUGADOR;PARTIDO;LLAVE;EQUIPO 1;EQUIPO 2;GOLES 1;GOLES 2;RESULTADO
LS;73;SUDÁFRICA-CANADÁ;SUDÁFRICA;CANADÁ;0;1;CANADÁ
LS;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;1;1;EMPATE
LS;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;2;1;HOLANDA
LS;76;BRASIL-JAPÓN;BRASIL;JAPÓN;3;2;BRASIL
LS;77;FRANCIA-SUECIA;FRANCIA;SUECIA;4;0;FRANCIA
LS;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;1;3;NORUEGA
LS;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;1;2;ECUADOR
LS;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
LS;81;USA-BOS Y HERZ;USA;BOS Y HERZ;3;1;USA
LS;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;2;2;EMPATE
LS;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;2;1;PORTUGAL
LS;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;2;0;ESPAÑA
LS;85;SUIZA-ARGELIA;SUIZA;ARGELIA;2;2;EMPATE
LS;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;2;0;ARGENTINA
LS;87;COLOMBIA-GHANA;COLOMBIA;GHANA;3;1;COLOMBIA
LS;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;2;2;EMPATE
LS;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;1;3;FRANCIA
LS;90;CANADÁ-HOLANDA;CANADÁ;HOLANDA;0;2;HOLANDA
LS;91;BRASIL-NORUEGA;BRASIL;NORUEGA;2;1;BRASIL
LS;92;ECUADOR-INGLATERRA;ECUADOR;INGLATERRA;1;0;ECUADOR
LS;93;ESPAÑA-PORTUGAL;ESPAÑA;PORTUGAL;2;2;EMPATE
LS;94;BÉLGICA-USA;BÉLGICA;USA;1;2;USA
LS;95;EGIPTO-ARGENTINA;EGIPTO;ARGENTINA;1;2;ARGENTINA
LS;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;0;2;COLOMBIA
LS;97;HOLANDA-FRANCIA;HOLANDA;FRANCIA;1;2;FRANCIA
LS;98;ESPAÑA-USA;ESPAÑA;USA;3;1;ESPAÑA
LS;99;BRASIL-ECUADOR;BRASIL;ECUADOR;2;0;BRASIL
LS;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;2;1;ARGENTINA
LS;101;FRANCIA-ESPAÑA;FRANCIA;ESPAÑA;3;2;FRANCIA
LS;102;BRASIL-ARGENTINA;BRASIL;ARGENTINA;2;3;ARGENTINA
LS;103;ESPAÑA-BRASIL;ESPAÑA;BRASIL;2;2;EMPATE
LS;104;FRANCIA-ARGENTINA;FRANCIA;ARGENTINA;3;4;ARGENTINA
DM;73;SUDÁFRICA-CANADÁ;SUDÁFRICA;CANADÁ;1;2;CANADÁ
DM;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;2;0;ALEMANIA
DM;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;2;2;EMPATE
DM;76;BRASIL-JAPÓN;BRASIL;JAPÓN;3;2;BRASIL
DM;77;FRANCIA-SUECIA;FRANCIA;SUECIA;3;0;FRANCIA
DM;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;2;2;EMPATE
DM;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;2;1;MÉXICO
DM;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;3;1;INGLATERRA
DM;81;USA-BOS Y HERZ;USA;BOS Y HERZ;3;1;USA
DM;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;2;1;BÉLGICA
DM;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;2;2;EMPATE
DM;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;2;1;ESPAÑA
DM;85;SUIZA-ARGELIA;SUIZA;ARGELIA;2;1;SUIZA
DM;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;3;0;ARGENTINA
DM;87;COLOMBIA-GHANA;COLOMBIA;GHANA;2;1;COLOMBIA
DM;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;1;1;EMPATE
DM;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;2;3;FRANCIA
DM;90;CANADÁ-HOLANDA;CANADÁ;HOLANDA;0;2;HOLANDA
DM;91;BRASIL-NORUEGA;BRASIL;NORUEGA;3;2;BRASIL
DM;92;MÉXICO-INGLATERRA;MÉXICO;INGLATERRA;1;2;INGLATERRA
DM;93;ESPAÑA-PORTUGAL;ESPAÑA;PORTUGAL;2;2;EMPATE
DM;94;BÉLGICA-USA;BÉLGICA;USA;1;2;USA
DM;95;AUSTRALIA-ARGENTINA;AUSTRALIA;ARGENTINA;0;2;ARGENTINA
DM;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;1;2;COLOMBIA
DM;97;HOLANDA-FRANCIA;HOLANDA;FRANCIA;1;3;FRANCIA
DM;98;PORTUGAL-USA;PORTUGAL;USA;3;2;PORTUGAL
DM;99;BRASIL-INGLATERRA;BRASIL;INGLATERRA;1;2;INGLATERRA
DM;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;1;0;ARGENTINA
DM;101;FRANCIA-PORTUGAL;FRANCIA;PORTUGAL;2;1;FRANCIA
DM;102;INGLATERRA-ARGENTINA;INGLATERRA;ARGENTINA;2;2;EMPATE
DM;103;INGLATERRA-PORTUGAL;INGLATERRA;PORTUGAL;1;2;PORTUGAL
