JUGADOR;PARTIDO;EQUIPO 1;EQUIPO 2;GOLES 1;GOLES 2
LS;MEXICO-SUDAFRICA;MEXICO;SUDAFRICA;2;1
LS;KOREA DEL SUR-REPUBLICA CHECA;KOREA DEL SUR;REPUBLICA CHECA;2;1
LS;CANADA-BOSNIA Y HERZEGOVINA;CANADA;BOSNIA Y HERZEGOVINA;2;1
LS;QATAR-SUIZA;QATAR;SUIZA;0;2
LS;BRASIL-MARRUECOS;BRASIL;MARRUECOS;1;3
LS;HAITI-ESCOCIA;HAITI;ESCOCIA;0;3
LS;ESTADOS UNIDOS-PARAGUAY;ESTADOS UNIDOS;PARAGUAY;1;2
LS;AUSTRALIA-TURQUIA;AUSTRALIA;TURQUIA;1;2
LS;ALEMANIA-CURAZAO;ALEMANIA;CURAZAO;3;0
LS;COSTA DE MARFIL-ECUADOR;COSTA DE MARFIL;ECUADOR;2;2
LS;HOLANDA-JAPON;HOLANDA;JAPON;2;1
LS;SUECIA-TUNEZ;SUECIA;TUNEZ;1;1
LS;BELGICA-EGIPTO;BELGICA;EGIPTO;2;0
LS;IRAN-NUEVA ZELANDA;IRAN;NUEVA ZELANDA;1;1
LS;ESPANA-CABO VERDE;ESPANA;CABO VERDE;4;0
LS;ARABIA SAUDITA-URUGUAY;ARABIA SAUDITA;URUGUAY;0;2
LS;FRANCIA-SENEGAL;FRANCIA;SENEGAL;2;1
LS;IRAQ-NORUEGA;IRAQ;NORUEGA;0;2
LS;ARGENTINA-ALGERIA;ARGENTINA;ALGERIA;2;1
LS;AUSTRIA-JORDANIA;AUSTRIA;JORDANIA;2;0
LS;PORTUGAL-RD CONGO;PORTUGAL;RD CONGO;3;1
LS;UZBEKISTAN-COLOMBIA;UZBEKISTAN;COLOMBIA;0;2
LS;INGLATERRA-CROACIA;INGLATERRA;CROACIA;2;2
LS;GHANA-PANAMA;GHANA;PANAMA;2;1
LS;REPUBLICA CHECA-SUDAFRICA;REPUBLICA CHECA;SUDAFRICA;1;1
LS;MEXICO-KOREA DEL SUR;MEXICO;KOREA DEL SUR;1;2
LS;SUIZA-BOSNIA Y HERZEGOVINA;SUIZA;BOSNIA Y HERZEGOVINA;2;1
LS;CANADA-QATAR;CANADA;QATAR;2;0
LS;ESCOCIA-MARRUECOS;ESCOCIA;MARRUECOS;0;2
LS;BRASIL-HAITI;BRASIL;HAITI;4;0
LS;ESTADOS UNIDOS-AUSTRALIA;ESTADOS UNIDOS;AUSTRALIA;2;1
LS;TURQUIA-PARAGUAY;TURQUIA;PARAGUAY;2;2
