STAT;PUNTOS;CORRECTA;LS;DM;FF;FS;JMS;ML;NA;JPS;DB;TI
PRIMER PUESTO;10;ESPAÑA;ARGENTINA;FRANCIA;ARGENTINA;ARGENTINA;ARGENTINA;ARGENTINA;ARGENTINA;ARGENTINA;ARGENTINA;FRANCIA
SEGUNDO PUESTO;5;ARGENTINA;FRANCIA;ARGENTINA;ESPAÑA;FRANCIA;FRANCIA;FRANCIA;FRANCIA;PORTUGAL;ESPAÑA;ARGENTINA
TERCER PUESTO;3;INGLATERRA;BRASIL;PORTUGAL;FRANCIA;ESPAÑA;ESPAÑA;BRASIL;ESPAÑA;FRANCIA;FRANCIA;INGLATERRA
Mayor goleador;5;K. Mbappé;K. Mbappé;K. Mbappé;K. Mbappé;K. Mbappé;K. Mbappé;E. Haaland;K. Mbappé;;;H. Kane
Mayor asistente;5;M. Olise;L. Messi;K. De Bruyne;L. Messi;L. Messi;L. Messi;B. Fernandes;L. Messi;;;Nuno Mendes
Arquero del Mundial;5;U. Simon;E. Martínez;E. Martínez;E. Martínez;E. Martínez;E. Martínez;U. Simon;E. Martínez;;;U. Simon
Jugador del Mundial;5;Rodri;L. Messi;K. Mbappé;L. Messi;L. Messi;L. Messi;L. Messi;K. Mbappé;;;O. Dembele
Jugador joven del Mundial;5;P. Cubarsí;L. Yamal;L. Yamal;L. Yamal;L. Yamal;L. Yamal;L. Yamal;L. Yamal;;;L. Yamal
Equipo más amonestado;5;ARGENTINA;PARAGUAY;ARGENTINA;URUGUAY;ARGENTINA;PARAGUAY;URUGUAY;ESPAÑA;;;PARAGUAY
Equipo con más GC;5;INGLATERRA;HAITI;CABO VERDE;CURAZAO;CURAZAO;HAITI;INGLATERRA;ESTADOS UNIDOS;;;HAITI
